Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Series,Trustedparts Search
L_XFL3012-331ME,L,330 nH,footprints:XFL3012,https://www.coilcraft.com/getmedia/f76a3c9b-4fff-4397-8028-ef8e043eb200/xfl3012.pdf,INDUCTOR SMD 330 nH ±20% AEC-Q200,Coilcraft,XFL3012-331ME,±20%,XFL3012,https://www.trustedparts.com/en/search/XFL3012-331ME
L_XFL3012-561ME,L,560 nH,footprints:XFL3012,https://www.coilcraft.com/getmedia/f76a3c9b-4fff-4397-8028-ef8e043eb200/xfl3012.pdf,INDUCTOR SMD 560 nH ±20% AEC-Q200,Coilcraft,XFL3012-561ME,±20%,XFL3012,https://www.trustedparts.com/en/search/XFL3012-561ME
L_XFL3012-681ME,L,680 nH,footprints:XFL3012,https://www.coilcraft.com/getmedia/f76a3c9b-4fff-4397-8028-ef8e043eb200/xfl3012.pdf,INDUCTOR SMD 680 nH ±20% AEC-Q200,Coilcraft,XFL3012-681ME,±20%,XFL3012,https://www.trustedparts.com/en/search/XFL3012-681ME
L_XFL3012-102ME,L,1 µH,footprints:XFL3012,https://www.coilcraft.com/getmedia/f76a3c9b-4fff-4397-8028-ef8e043eb200/xfl3012.pdf,INDUCTOR SMD 1 µH ±20% AEC-Q200,Coilcraft,XFL3012-102ME,±20%,XFL3012,https://www.trustedparts.com/en/search/XFL3012-102ME
L_XFL3012-152ME,L,1.5 µH,footprints:XFL3012,https://www.coilcraft.com/getmedia/f76a3c9b-4fff-4397-8028-ef8e043eb200/xfl3012.pdf,INDUCTOR SMD 1.5 µH ±20% AEC-Q200,Coilcraft,XFL3012-152ME,±20%,XFL3012,https://www.trustedparts.com/en/search/XFL3012-152ME
L_XFL3012-222ME,L,2.2 µH,footprints:XFL3012,https://www.coilcraft.com/getmedia/f76a3c9b-4fff-4397-8028-ef8e043eb200/xfl3012.pdf,INDUCTOR SMD 2.2 µH ±20% AEC-Q200,Coilcraft,XFL3012-222ME,±20%,XFL3012,https://www.trustedparts.com/en/search/XFL3012-222ME
L_XFL3012-332ME,L,3.3 µH,footprints:XFL3012,https://www.coilcraft.com/getmedia/f76a3c9b-4fff-4397-8028-ef8e043eb200/xfl3012.pdf,INDUCTOR SMD 3.3 µH ±20% AEC-Q200,Coilcraft,XFL3012-332ME,±20%,XFL3012,https://www.trustedparts.com/en/search/XFL3012-332ME
L_XFL3012-472ME,L,4.7 µH,footprints:XFL3012,https://www.coilcraft.com/getmedia/f76a3c9b-4fff-4397-8028-ef8e043eb200/xfl3012.pdf,INDUCTOR SMD 4.7 µH ±20% AEC-Q200,Coilcraft,XFL3012-472ME,±20%,XFL3012,https://www.trustedparts.com/en/search/XFL3012-472ME
L_XFL3012-682ME,L,6.8 µH,footprints:XFL3012,https://www.coilcraft.com/getmedia/f76a3c9b-4fff-4397-8028-ef8e043eb200/xfl3012.pdf,INDUCTOR SMD 6.8 µH ±20% AEC-Q200,Coilcraft,XFL3012-682ME,±20%,XFL3012,https://www.trustedparts.com/en/search/XFL3012-682ME
L_XFL3012-103ME,L,10 µH,footprints:XFL3012,https://www.coilcraft.com/getmedia/f76a3c9b-4fff-4397-8028-ef8e043eb200/xfl3012.pdf,INDUCTOR SMD 10 µH ±20% AEC-Q200,Coilcraft,XFL3012-103ME,±20%,XFL3012,https://www.trustedparts.com/en/search/XFL3012-103ME
L_XFL3012-153ME,L,15 µH,footprints:XFL3012,https://www.coilcraft.com/getmedia/f76a3c9b-4fff-4397-8028-ef8e043eb200/xfl3012.pdf,INDUCTOR SMD 15 µH ±20% AEC-Q200,Coilcraft,XFL3012-153ME,±20%,XFL3012,https://www.trustedparts.com/en/search/XFL3012-153ME
L_XFL3012-223ME,L,22 µH,footprints:XFL3012,https://www.coilcraft.com/getmedia/f76a3c9b-4fff-4397-8028-ef8e043eb200/xfl3012.pdf,INDUCTOR SMD 22 µH ±20% AEC-Q200,Coilcraft,XFL3012-223ME,±20%,XFL3012,https://www.trustedparts.com/en/search/XFL3012-223ME
L_XFL3012-333ME,L,33 µH,footprints:XFL3012,https://www.coilcraft.com/getmedia/f76a3c9b-4fff-4397-8028-ef8e043eb200/xfl3012.pdf,INDUCTOR SMD 33 µH ±20% AEC-Q200,Coilcraft,XFL3012-333ME,±20%,XFL3012,https://www.trustedparts.com/en/search/XFL3012-333ME
L_XFL3012-393ME,L,39 µH,footprints:XFL3012,https://www.coilcraft.com/getmedia/f76a3c9b-4fff-4397-8028-ef8e043eb200/xfl3012.pdf,INDUCTOR SMD 39 µH ±20% AEC-Q200,Coilcraft,XFL3012-393ME,±20%,XFL3012,https://www.trustedparts.com/en/search/XFL3012-393ME
L_XFL3012-473ME,L,47 µH,footprints:XFL3012,https://www.coilcraft.com/getmedia/f76a3c9b-4fff-4397-8028-ef8e043eb200/xfl3012.pdf,INDUCTOR SMD 47 µH ±20% AEC-Q200,Coilcraft,XFL3012-473ME,±20%,XFL3012,https://www.trustedparts.com/en/search/XFL3012-473ME
L_XFL3012-563ME,L,56 µH,footprints:XFL3012,https://www.coilcraft.com/getmedia/f76a3c9b-4fff-4397-8028-ef8e043eb200/xfl3012.pdf,INDUCTOR SMD 56 µH ±20% AEC-Q200,Coilcraft,XFL3012-563ME,±20%,XFL3012,https://www.trustedparts.com/en/search/XFL3012-563ME
L_XFL3012-683ME,L,68 µH,footprints:XFL3012,https://www.coilcraft.com/getmedia/f76a3c9b-4fff-4397-8028-ef8e043eb200/xfl3012.pdf,INDUCTOR SMD 68 µH ±20% AEC-Q200,Coilcraft,XFL3012-683ME,±20%,XFL3012,https://www.trustedparts.com/en/search/XFL3012-683ME
L_XFL3012-823ME,L,82 µH,footprints:XFL3012,https://www.coilcraft.com/getmedia/f76a3c9b-4fff-4397-8028-ef8e043eb200/xfl3012.pdf,INDUCTOR SMD 82 µH ±20% AEC-Q200,Coilcraft,XFL3012-823ME,±20%,XFL3012,https://www.trustedparts.com/en/search/XFL3012-823ME
L_XFL3012-104ME,L,100 µH,footprints:XFL3012,https://www.coilcraft.com/getmedia/f76a3c9b-4fff-4397-8028-ef8e043eb200/xfl3012.pdf,INDUCTOR SMD 100 µH ±20% AEC-Q200,Coilcraft,XFL3012-104ME,±20%,XFL3012,https://www.trustedparts.com/en/search/XFL3012-104ME
L_XFL3012-224ME,L,220 µH,footprints:XFL3012,https://www.coilcraft.com/getmedia/f76a3c9b-4fff-4397-8028-ef8e043eb200/xfl3012.pdf,INDUCTOR SMD 220 µH ±20% AEC-Q200,Coilcraft,XFL3012-224ME,±20%,XFL3012,https://www.trustedparts.com/en/search/XFL3012-224ME
L_XFL3010-601ME,L,600 nH,footprints:XFL3010,https://www.coilcraft.com/getmedia/0118859e-f2e2-4063-93cf-e50ed636ea4e/xfl3010.pdf,INDUCTOR SMD 600 nH ±20% AEC-Q200,Coilcraft,XFL3010-601ME,±20%,XFL3010,https://www.trustedparts.com/en/search/XFL3010-601ME
L_XFL3010-102ME,L,1 µH,footprints:XFL3010,https://www.coilcraft.com/getmedia/0118859e-f2e2-4063-93cf-e50ed636ea4e/xfl3010.pdf,INDUCTOR SMD 1 µH ±20% AEC-Q200,Coilcraft,XFL3010-102ME,±20%,XFL3010,https://www.trustedparts.com/en/search/XFL3010-102ME
L_XFL3010-152ME,L,1.5 µH,footprints:XFL3010,https://www.coilcraft.com/getmedia/0118859e-f2e2-4063-93cf-e50ed636ea4e/xfl3010.pdf,INDUCTOR SMD 1.5 µH ±20% AEC-Q200,Coilcraft,XFL3010-152ME,±20%,XFL3010,https://www.trustedparts.com/en/search/XFL3010-152ME
L_XFL3010-222ME,L,2.2 µH,footprints:XFL3010,https://www.coilcraft.com/getmedia/0118859e-f2e2-4063-93cf-e50ed636ea4e/xfl3010.pdf,INDUCTOR SMD 2.2 µH ±20% AEC-Q200,Coilcraft,XFL3010-222ME,±20%,XFL3010,https://www.trustedparts.com/en/search/XFL3010-222ME
L_XFL3010-332ME,L,3.3 µH,footprints:XFL3010,https://www.coilcraft.com/getmedia/0118859e-f2e2-4063-93cf-e50ed636ea4e/xfl3010.pdf,INDUCTOR SMD 3.3 µH ±20% AEC-Q200,Coilcraft,XFL3010-332ME,±20%,XFL3010,https://www.trustedparts.com/en/search/XFL3010-332ME
L_XFL3010-472ME,L,4.7 µH,footprints:XFL3010,https://www.coilcraft.com/getmedia/0118859e-f2e2-4063-93cf-e50ed636ea4e/xfl3010.pdf,INDUCTOR SMD 4.7 µH ±20% AEC-Q200,Coilcraft,XFL3010-472ME,±20%,XFL3010,https://www.trustedparts.com/en/search/XFL3010-472ME
L_XFL3010-682ME,L,6.8 µH,footprints:XFL3010,https://www.coilcraft.com/getmedia/0118859e-f2e2-4063-93cf-e50ed636ea4e/xfl3010.pdf,INDUCTOR SMD 6.8 µH ±20% AEC-Q200,Coilcraft,XFL3010-682ME,±20%,XFL3010,https://www.trustedparts.com/en/search/XFL3010-682ME
L_XFL3010-103ME,L,10 µH,footprints:XFL3010,https://www.coilcraft.com/getmedia/0118859e-f2e2-4063-93cf-e50ed636ea4e/xfl3010.pdf,INDUCTOR SMD 10 µH ±20% AEC-Q200,Coilcraft,XFL3010-103ME,±20%,XFL3010,https://www.trustedparts.com/en/search/XFL3010-103ME
L_XFL3010-153ME,L,15 µH,footprints:XFL3010,https://www.coilcraft.com/getmedia/0118859e-f2e2-4063-93cf-e50ed636ea4e/xfl3010.pdf,INDUCTOR SMD 15 µH ±20% AEC-Q200,Coilcraft,XFL3010-153ME,±20%,XFL3010,https://www.trustedparts.com/en/search/XFL3010-153ME
L_XFL3010-223ME,L,22 µH,footprints:XFL3010,https://www.coilcraft.com/getmedia/0118859e-f2e2-4063-93cf-e50ed636ea4e/xfl3010.pdf,INDUCTOR SMD 22 µH ±20% AEC-Q200,Coilcraft,XFL3010-223ME,±20%,XFL3010,https://www.trustedparts.com/en/search/XFL3010-223ME
L_XFL3010-333ME,L,33 µH,footprints:XFL3010,https://www.coilcraft.com/getmedia/0118859e-f2e2-4063-93cf-e50ed636ea4e/xfl3010.pdf,INDUCTOR SMD 33 µH ±20% AEC-Q200,Coilcraft,XFL3010-333ME,±20%,XFL3010,https://www.trustedparts.com/en/search/XFL3010-333ME
L_XFL3010-473ME,L,47 µH,footprints:XFL3010,https://www.coilcraft.com/getmedia/0118859e-f2e2-4063-93cf-e50ed636ea4e/xfl3010.pdf,INDUCTOR SMD 47 µH ±20% AEC-Q200,Coilcraft,XFL3010-473ME,±20%,XFL3010,https://www.trustedparts.com/en/search/XFL3010-473ME
