Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Series,Trustedparts Search
L_XFL4020-121ME,L,120 nH,footprints:XFL4020,https://www.coilcraft.com/getmedia/50632d43-da1b-4cdb-8ab4-3029cab51df3/xfl4020.pdf,INDUCTOR SMD 120 nH ±20% AEC-Q200,Coilcraft,XFL4020-121ME,±20%,XFL4020,https://www.trustedparts.com/en/search/XFL4020-121ME
L_XFL4020-241ME,L,240 nH,footprints:XFL4020,https://www.coilcraft.com/getmedia/50632d43-da1b-4cdb-8ab4-3029cab51df3/xfl4020.pdf,INDUCTOR SMD 240 nH ±20% AEC-Q200,Coilcraft,XFL4020-241ME,±20%,XFL4020,https://www.trustedparts.com/en/search/XFL4020-241ME
L_XFL4020-331ME,L,330 nH,footprints:XFL4020,https://www.coilcraft.com/getmedia/50632d43-da1b-4cdb-8ab4-3029cab51df3/xfl4020.pdf,INDUCTOR SMD 330 nH ±20% AEC-Q200,Coilcraft,XFL4020-331ME,±20%,XFL4020,https://www.trustedparts.com/en/search/XFL4020-331ME
L_XFL4020-471ME,L,470 nH,footprints:XFL4020,https://www.coilcraft.com/getmedia/50632d43-da1b-4cdb-8ab4-3029cab51df3/xfl4020.pdf,INDUCTOR SMD 470 nH ±20% AEC-Q200,Coilcraft,XFL4020-471ME,±20%,XFL4020,https://www.trustedparts.com/en/search/XFL4020-471ME
L_XFL4020-561ME,L,560 nH,footprints:XFL4020,https://www.coilcraft.com/getmedia/50632d43-da1b-4cdb-8ab4-3029cab51df3/xfl4020.pdf,INDUCTOR SMD 560 nH ±20% AEC-Q200,Coilcraft,XFL4020-561ME,±20%,XFL4020,https://www.trustedparts.com/en/search/XFL4020-561ME
L_XFL4020-102ME,L,1 µH,footprints:XFL4020,https://www.coilcraft.com/getmedia/50632d43-da1b-4cdb-8ab4-3029cab51df3/xfl4020.pdf,INDUCTOR SMD 1 µH ±20% AEC-Q200,Coilcraft,XFL4020-102ME,±20%,XFL4020,https://www.trustedparts.com/en/search/XFL4020-102ME
L_XFL4020-152ME,L,1.5 µH,footprints:XFL4020,https://www.coilcraft.com/getmedia/50632d43-da1b-4cdb-8ab4-3029cab51df3/xfl4020.pdf,INDUCTOR SMD 1.5 µH ±20% AEC-Q200,Coilcraft,XFL4020-152ME,±20%,XFL4020,https://www.trustedparts.com/en/search/XFL4020-152ME
L_XFL4020-222ME,L,2.2 µH,footprints:XFL4020,https://www.coilcraft.com/getmedia/50632d43-da1b-4cdb-8ab4-3029cab51df3/xfl4020.pdf,INDUCTOR SMD 2.2 µH ±20% AEC-Q200,Coilcraft,XFL4020-222ME,±20%,XFL4020,https://www.trustedparts.com/en/search/XFL4020-222ME
L_XFL4020-332ME,L,3.3 µH,footprints:XFL4020,https://www.coilcraft.com/getmedia/50632d43-da1b-4cdb-8ab4-3029cab51df3/xfl4020.pdf,INDUCTOR SMD 3.3 µH ±20% AEC-Q200,Coilcraft,XFL4020-332ME,±20%,XFL4020,https://www.trustedparts.com/en/search/XFL4020-332ME
L_XFL4020-472ME,L,4.7 µH,footprints:XFL4020,https://www.coilcraft.com/getmedia/50632d43-da1b-4cdb-8ab4-3029cab51df3/xfl4020.pdf,INDUCTOR SMD 4.7 µH ±20% AEC-Q200,Coilcraft,XFL4020-472ME,±20%,XFL4020,https://www.trustedparts.com/en/search/XFL4020-472ME
